Problem ID,Problem Description,Hint,A,B,C,D,Feedback,answer,ansValue
1,The weights of bags of apples follow the normal distribution with a mean of 5 pounds and a standard deviation of 0.5 pounds. What is the probability that the maximum weight of two randomly chosen bags weighs less than 4.3 pounds?,\(\Phi\) is the cdf of the standard Normal,\(\Phi(4.5)\),\(\Phi\left(\frac{4.3-5}{0.5}\right)^2\),\(\Phi\left(\frac{4.3-5}{0.5}\right)\),\(1-\left(\Phi\left(\frac{4.3-5}{0.5}\right)\right)^2\),The maximum is less than a value when both bags weigh less than that value,B,\(\Phi\left(\frac{4.3-5}{0.5}\right)^2\)
2,The weights of bags of apples follow the normal distribution with a mean of 5 pounds and a standard deviation of 0.5 pounds. What is the probability that the weight of a randomly chosen bag weighs between 4.0 and 4.5 pounds?,\(\Phi\) is the cdf of the standard Normal,\(\Phi(4.5)-(4.0)\),\(\int_{4}^{4.5}e^{-5x}dx\),\(\int_{-2}^{-1}e^{-5x}dx\),\(\Phi\left(\frac{4.3-5}{0.5}\right)-\Phi\left(\frac{4.0-5}{0.5}\right)\),,D,\(\Phi\left(\frac{4.3-5}{0.5}\right)-\Phi\left(\frac{4.0-5}{0.5}\right)\)
3,The weights of bags of apples follow the normal distribution with a mean of 5 pounds and a standard deviation of 0.5 pounds. What is the probability that the weights of four randomly chosen bags average between 4.5 and 4.75 pounds?,Think about the standard deviation of the average.,\(\int_{-1}^{-0.5}e^{-5x}dx\),\(\Phi\left(\frac{4.75-5}{0.5}\right)-\Phi\left(\frac{4.5-5}{0.5}\right)\),\(\Phi\left(\frac{4.75-5}{0.5/\sqrt{4}}\right)-\Phi\left(\frac{4.5-5}{0.5/\sqrt{4}}\right)\),\(\int_{-2}^{-1}e^{-5x}dx\),,C,\(\Phi\left(\frac{4.75-5}{0.5/\sqrt{4}}\right)-\Phi\left(\frac{4.5-5}{0.5/\sqrt{4}}\right)\)
4,There are an average of 5 fatal accidents on the George Washington Bridge in New York per year that happen independently of each other consistently throughout the year. What is the probability that the next two accidents will occur within the next half of a year?,Think about the type of distribution the the time until two more accidents would have.,\(\int_{0}^{1/2}5^{2}xe^{-5x}dx\),\(\left(\frac{5^2}{2!}\right)e^{-5}\),\(\left(\frac{{2.5}^2}{2!}\right)e^{-2.5}\),\( {{5}\choose{2}}\cdot\left(\frac{1}{2}\right)^2\cdot\left(\frac{1}{2}\right)^3\),,A,\(\int_{0}^{1/2}5^{2}xe^{-5x}dx\)
5,There are an average of 5 fatal accidents on the George Washington Bridge in New York per year that happen independently of each other consistently throughout the year. What is the variance of the time until two more accidents occur?,Think about the type of distribution that the time until two more accidents would have.,\(\frac{2}{5^2}=0.08\),\(2^2(5^2)=100\),\(\left(\frac{2^2}{5^2}\right)=0.16\),\(2(5^2)=50\),,A,\(\frac{2}{5^2}=0.08\)
6,There are an average of 5 fatal accidents on the George Washington Bridge in New York per year that happen independently of each other consistently throughout the year. What is the covariance between the time to the next accident (\(X\)) and the time to the next two accidents( \(Y\))?,Assume non-overlapping intervals are independent.,0,\(\text{E}\left[XY\right]=\frac{1}{5}\),\(\text{Var}\left[X\right]=\frac{1}{5^2}\),\(\text{Var}\left[Y\right]=\frac{2}{5^2}\),,C,\(\text{Var}\left[X\right]=\frac{1}{5^2}\)
7,20% of registered voters in Pennsylvania are under 25 years old and the probability that a registered voter in that age group will vote in the next Presidential election is 30% lower than the probability for a registered voter over 25 years old. What is the probability that a random voter in the next Presidential election is under 25?,Use Bayes Theorem.,0.2,\((0.2)(0.3)\),\(1-\frac{0.8}{0.7}\),\(\frac{0.2}{0.2+{\frac{0.8}{0.7}}}\),,D,\(\frac{0.2}{0.2+{\frac{0.8}{0.7}}}\)
8,20% of registered voters in Pennsylvania are under 25 years old and the probability that a registered voter in that age group will vote in the next Presidential election is 30% lower than the probability for a registered voter over 25 years old. What is the probability that a random group of 5 voters in the next Presidential election includes no one under 25?,Use Bayes Theorem and independence of different voters.,\(0.8^5\),\(\left(1-\frac{0.2}{0.2+\frac{0.8}{0.7}}\right)^5\),\({{5}\choose{1}}\cdot{0.8}^4\cdot{0.2}\),\(0.7^5\),,B,\(\left(1-\frac{0.2}{0.2+\frac{0.8}{0.7}}\right)^5\)
9,"20% of registered voters in Pennsylvania are under 25 years old and the probability that a registered voter in that age group will vote in the next Presidential election is 30% lower than the probability for a registered voter over 25 years old. In a group of 100 random voters from the next Presidential election, what is the variance of the number of them who are under 25 years old?",Use Bayes Theorem and think about the type of variable the number of them will be.,\(100(0.2)(0.8)\),\(\frac{100}{0.7^2}\),\(\frac{100}{0.8^2}\),\(100\cdot\left(\frac{0.2}{0.2+\frac{0.8}{0.7}}\right)\cdot\left(1-\frac{0.2}{0.2+\frac{0.8}{0.7}}\right)\),,D,\(100\cdot\left(\frac{0.2}{0.2+\frac{0.8}{0.7}}\right)\cdot\left(1-\frac{0.2}{0.2+\frac{0.8}{0.7}}\right)\)
10,An insurance company pays claims on an average of 25 cases per day where deer were hit by cars. The average size of these claims is $2100 with a standard deviation of $4300. What is the expected total amount this company will pay out on such claims tomorrow?,Use iterated expectation.,2100,\(25(2100)\),\((2100)(25)^2\),\(25\Phi\left(\frac{2100}{4300}\right)\),,B,\(25(2100)\)
